platform,keyword,video_id,title,channel,published_at,creator_type,topics,views,likes,comments_count
youtube,smart fan,g3uJjG1zxd0,Atomberg Renesa smart fan #shorts #youtubeshorts #smartgadgets #homeimprovement #amazonfinds,Quirk Art for Home by Stuti,2024-07-26T04:32:41Z,retailer,smart_features,1749656,6160,35
youtube,smart fan,X2Y8LZcbmEY,Ok Google - Atomberg Renesa Smart+ BLDC Ceiling fan | Alexa + Remote 🫶,Siva Bharani Udaya Selvan,2024-05-02T13:04:14Z,independent_creator,energy_saving;smart_features,95971,2455,95
youtube,smart fan,nVPNjae59-s,Atomberg Rensa Plus BLDC Fan #gadgetshorts  #shorts,Utpad Unbox,2023-03-23T06:16:22Z,independent_creator,energy_saving;smart_features,2901463,24571,201
youtube,smart fan,gFT688pEDYk,Atomberg BLDC Ceiling fan With remote 3in1 Led light Smart fan  #remotefan  #atombergfan #ceilingfan,Lighting Adda,2025-06-04T05:00:59Z,independent_creator,energy_saving;smart_features,36953,155,0
youtube,smart fan,x-hGuT5Gny0,Save upto 50% Electricity with this smart ceiling Aerosense BLDC Pro fan,Mr Techpedia,2025-04-03T13:01:33Z,independent_creator,energy_saving;smart_features,125553,3968,66
youtube,smart fan,M51FK8wEg0k,Atomberg Renesa BLDC smart ceiling fan app control kaise kare. #shorts #youtubeshorts,Amazing Technique Gyan,2024-04-02T13:44:17Z,independent_creator,energy_saving;smart_features,3102407,15914,108
youtube,smart fan,bKDxVC7uzzE,Vera Level Fan😍! - Best Fan for your house! - Havells Signia BLDC Fan Review!,Geekytamizha,2025-03-29T13:55:32Z,independent_creator,energy_saving,102919,1362,17
youtube,smart fan,auGsGYXFisg,Ceiling fan 😩 atomberg studio smart plus fan #fan #fansound #shorts #shortsvideo #viralvideo,Utpad Unbox,2024-08-14T03:25:52Z,independent_creator,smart_features,1365528,5683,33
youtube,smart fan,u_kxhHjHln0,Atomberg Renesa 1400mm,AMARDEEP Toor,2022-05-04T17:45:33Z,independent_creator,,3622160,32621,399
youtube,smart fan,EORIkYyM5KQ,Smart Ceiling Fan 🤔 #fansound​ #fan​ #shortvideo​ #shorts​ #viralvideo​,Asad vlog,2025-08-15T16:20:47Z,independent_creator,smart_features,310069,857,0
youtube,smart fan,3wkfkBYNnzU,Modern Ceiling Fan | Bladeless ceiling fan SMART CEILLING FAN with light #viralshort #ceilingfan,Smart Home ,2025-04-27T07:50:39Z,independent_creator,energy_saving;smart_features;price_value,375418,0,43
youtube,smart fan,sszo5Hbdjoo,Atomberg BLDC Ceiling Fan | Sabse smart fan india ka | smart ceiling fan review #Shorts #DIY Part-1,kawaljeet kaur,2025-06-09T12:31:00Z,independent_creator,energy_saving;smart_features,16483,149,2
youtube,smart fan,k28Lo3hELmQ,[NEW 2025]🔥Best BLDC Ceiling Fan In India 2025🔥Best BLDC Ceiling Fan Under ₹2500 - ₹3000,TechRx Home,2025-08-31T04:30:34Z,independent_creator,energy_saving;noise_silent;smart_features;price_value,70721,413,61
youtube,smart fan,MQES_LprVeY,Ceiling Fan with Lights & Remote – Stylish & Functional Home Upgrade!,QC Store,2025-03-29T16:00:24Z,independent_creator,energy_saving;noise_silent;smart_features,3649691,14376,152
youtube,smart fan,5_3JIC6we7o,Best selling Smart BLDC Ceiling with Alexa | Atomberg Renesa Smart+ #smartfan #atombergfan #bldcfans,DESi CONSUMEr,2024-04-01T05:59:01Z,independent_creator,energy_saving;smart_features,784269,0,129
